51624         10   ..                      68 68
51625         2.   ..                       .  .
51626         2.   ..                       .  .
51627         2.   ..                       .  .
51628         10   ..                      83 82
51629         10   ..                      84 83
51630         10   ..                      77 77
51631         2.   ..                       .  .
51632         2.   ..                       .  .
51633         10   ..                      74 74
51634         2.   ..                       .  .
51635         1100100                      40 39
51636         2.   ..                       .  .
51637         10   ..                      77  .
51638         2.   ..                       .  .
51639         2.   ..                       .  .
51640         2.   ..                       .  .
51641         2.   ..                       .  .
51642         2.   ..                       .  .
51643         10   ..                      83 81
51644         2.   ..                       .  .
51645         10   ..                      78 76
51646         2.   ..                       .  .
51647         10   ..                      68 67
51648         10   ..                      83 82
51649         2.   ..                       .  .
51650         2.   ..                       .  .
51651         10   ..                      65 65
51652         2.   ..                       .  .
51653         10   ..                      79 78
51654         10   ..                      59 58
51655         10   ..                      67 65
51656         10   ..                      76 76
51657         10   ..                      83 83
51658         10   ..                      71 71
51659         2.   ..                       .  .
51660         10   ..                      63 63
51661         10   ..                      76 75
51662         10   ..                      61 60
51663         10   ..                      76 76
51664         10   ..                      66 65
51665         2.   ..                       .  .
51666         10   ..                      77 76
51667         10   ..                      71 71
51668         10   ..                      79 79
51669         10   ..                      61 61
51670         10   ..                      82 81
51671         2.   ..                       .  .
51672         10   ..                      68 67
51673         10   ..                      71 70
51674         10   ..                      73  .
51675         10   ..                      80 80
51676         10   ..                      62 61
51677         10   ..                      68 67
51678         10   ..                      81 80
51679         2.   ..                       .  .
51680         10   ..                      81 80
51681         2.   ..                       .  .
51682         2.   ..                       .  .
51683         10   ..                      83 83
51684         2.   ..                       .  .
51685         10   ..                      69 68
51686         2.   ..                       .  .
51687         10   ..                      65 65
51688         2.   ..                       .  .
51689         2.   ..                       .  .
51690         1101000                      71 70
51691         10   ..                      83 82
51692         10   ..                      68 67
51693         10   ..                      65 64
51694         10   ..                      66 65
51695         2.   ..                       .  .
51696         10   ..                      82 81
51697         10   ..                      62 62
51698         2.   ..                       .  .
51699         10   ..                      76 75
51700         2.   ..                       .  .
51701         10   ..                      83 83
51702         10   ..                      74 73
51703         2.   ..                       .  .
51704         10   ..                      77 76
51705         10   ..                      61 60
51706         2.   ..                       .  .
51707         10   ..                      71 71
51708         10   ..                      68 68
51709         10   ..                      76 76
51710         10   ..                      71 70
51711         10   ..                      71 71
51712         10   ..                      76  .
51713         1101010                      37 37
51714         10   ..                      64 63
51715         10   ..                      59 58
51716         2.   ..                       .  .
51717         2.   ..                       .  .
51718         10   ..                      78 77
51719         2.   ..                       .  .
51720         2.   ..                       .  .
51721         10   ..                      64 63
51722         2.   ..                       .  .
51723         10   ..                      63 62
51724         10   ..                      77 77
51725         2.   ..                       .  .
51726         10   ..                      79 78
51727         2.   ..                       .  .
51728         10   ..                      65 64
51729         2.   ..                       .  .
51730         10   ..                      69 68
51731         10   ..                      64 64
51732         10   ..                      73 73
51733         10   ..                      75 73
51734         10   ..                      79 79
51735         10   ..                      77 76
51736         10   ..                      80 80
51737         10   ..                      67 67
51738         10   ..                      76 73
51739         2.   ..                       .  .
51740         10   ..                      67 67
51741         10   ..                      74 73
51742         2.   ..                       .  .
51743         2.   ..                       .  .
51744         10   ..                      76 75
51745         10   ..                      72 71
51746         10   ..                      76 75
51747         10   ..                      65 64
51748         10   ..                      76 74
51749         1100200                      33 31
51750         10   ..                      70 70
51751         2.   ..                       .  .
51752         1100110                      45 45
51753         2.   ..                       .  .
51754         10   ..                      82 81
51755         2.   ..                       .  .
51756         10   ..                      62 61
51757         10   ..                      74 74
51758         2.   ..                       .  .
51759         10   ..                      83 82
51760         10   ..                      74 73
51761         10   ..                      81 79
51762         10   ..                      68 67
51763         2.   ..                       .  .
51764         10   ..                      74 73
51765         2.   ..                       .  .
51766         2.   ..                       .  .
51767         2.   ..                       .  .
51768         10   ..                      80 79
51769         1101000                       5  3
51770         10   ..                      68 67
51771         2.   ..                       .  .
51772         10   ..                      65 64
51773         2.   ..                       .  .
51774         10   ..                      73 73
51775         10   ..                      68 67
51776         10   ..                      61 61
51777         10   ..                      83 82
51778         10   ..                      69 68
51779         10   ..                      70 69
51780         10   ..                      70 69
51781         10   ..                      77 77
51782         10   ..                      63 63
51783         10   ..                      81 79
51784         10   ..                      75 73
51785         2.   ..                       .  .
51786         2.   ..                       .  .
51787         10   ..                      76 74
51788         2.   ..                       .  .
51789         2.   ..                       .  .
51790         10   ..                      72 72
51791         10   ..                      81 80
51792         10   ..                      69 69
51793         10   ..                      83 81
51794         2.   ..                       .  .
51795         10   ..                      63 62
51796         10   ..                      74 73
51797         2.   ..                       .  .
51798         10   ..                      82 81
51799         10   ..                      77 77
51800         2.   ..                       .  .
51801         10   ..                      71 70
51802         2.   ..                       .  .
51803         10   ..                      80 79
51804         1101000                      20 19
51805         10   ..                      64 64
51806         10   ..                      66 65
51807         10   ..                      65 65
51808         10   ..                      78 78
51809         10   ..                      82 82
51810         2.   ..                       .  .
51811         2.   ..                       .  .
51812         2.   ..                       .  .
51813         2.   ..                       .  .
51814         2.   ..                       .  .
51815         10   ..                      65 64
51816         10   ..                      75 74
51817         10   ..                      65 65
51818         10   ..                      62 61
51819         10   ..                      71 70
51820         1101000                       2  1
51821         10   ..                      63 63
51822         10   ..                      79 78
51823         10   ..                      83 82
51824         10   ..                      71 70
51825         10   ..                      68 67
51826         2.   ..                       .  .
51827         2.   ..                       .  .
51828         1100200                       5  3
51829         10   ..                      80 78
51830         10   ..                      71 69
51831         10   ..                      75 74
51832         10   ..                      79 79
51833         10   ..                      69 69
51834         1100101                      28 28
51835         2.   ..                       .  .
51836         10   ..                      66 65
51837         2.   ..                       .  .
51838         2.   ..                       .  .
51839         10   ..                      67 66
51840         2.   ..                       .  .
51841         2.   ..                       .  .
51842         10   ..                      83 82
51843         10   ..                      85 84
51844         10   ..                      73 73
51845         10   ..                      73 73
51846         10   ..                      74 73
51847         2.   ..                       .  .
51848         10   ..                      69 68
51849         10   ..                      65 64
51850         10   ..                      70 69
51851         10   ..                      83 81
51852         2.   ..                       .  .
51853         2.   ..                       .  .
51854         1101011                      57 57
51855         10   ..                      74 73
51856         10   ..                      77 75
51857         10   ..                      80 80
51858         10   ..                      76 76
51859         2.   ..                       .  .
51860         2.   ..                       .  .
51861         1101000                      39 39
51862         2.   ..                       .  .
51863         10   ..                      75 75
51864         2.   ..                       .  .
51865         10   ..                      67 67
51866         10   ..                      72 72
51867         10   ..                      71 70
51868         10   ..                      70 69
51869         2.   ..                       .  .
51870         2.   ..                       .  .
51871         3.   ..                       .  .
51872         2.   ..                       .  .
51873         2.   ..                       .  .
51874         1100200                       4  .
51875         10   ..                      69 68
51876         2.   ..                       .  .
51877         10   ..                      81 79
51878         10   ..                      68 67
51879         2.   ..                       .  .
51880         10   ..                      71 70
51881         2.   ..                       .  .
51882         10   ..                      76 75
51883         10   ..                      71 70
51884         2.   ..                       .  .
51885         10   ..                      70 69
51886         10   ..                      64 63
51887         10   ..                      77 76
51888         10   ..                      75 73
51889         10   ..                      63 62
51890         2.   ..                       .  .
51891         10   ..                      71 70
51892         10   ..                      71 71
51893         1100200                      20 19
51894         2.   ..                       .  .
51895         10   ..                      81 80
51896         2.   ..                       .  .
51897         2.   ..                       .  .
51898         10   ..                      79 79
51899         10   ..                      69 68
51900         10   ..                      68 68
51901         2.   ..                       .  .
51902         1100200                      64 63
51903         10   ..                      69 68
51904         10   ..                      77 76
51905         10   ..                      78 77
51906         10   ..                      75 74
51907         10   ..                      73 73
51908         10   ..                      65 65
51909         10   ..                      66 64
51910         2.   ..                       .  .
51911         10   ..                      75 73
51912         10   ..                      82 81
51913         2.   ..                       .  .
51914         2.   ..                       .  .
51915         10   ..                      75 74
51916         10   ..                      65 64
51917         2.   ..                       .  .
51918         10   ..                      79 78
51919         10   ..                      73 72
51920         2.   ..                       .  .
51921         10   ..                      85 84
51922         10   ..                      70 69
51923         10   ..                      71 69
51924         10   ..                      82 81
51925         1101000                      34 33
51926         2.   ..                       .  .
51927         2.   ..                       .  .
51928         10   ..                      70 69
51929         10   ..                      73 73
51930         10   ..                      68 68
51931         10   ..                      68 67
51932         2.   ..                       .  .
51933         10   ..                      77 75
51934         2.   ..                       .  .
51935         2.   ..                       .  .
51936         10   ..                      72 72
51937         2.   ..                       .  .
51938         2.   ..                       .  .
51939         2.   ..                       .  .
51940         10   ..                      71 71
51941         10   ..                      63 63
51942         10   ..                      63 63
51943         10   ..                      72 71
51944         10   ..                      64 63
51945         10   ..                      82 82
51946         2.   ..                       .  .
51947         2.   ..                       .  .
51948         10   ..                      72 71
51949         2.   ..                       .  .
51950         2.   ..                       .  .
51951         10   ..                      73 73
51952         10   ..                      67 66
51953         2.   ..                       .  .
51954         2.   ..                       .  .
51955         2.   ..                       .  .
51956         2.   ..                       .  .
51957         10   ..                      68 68
51958         10   ..                      71 70
51959         10   ..                      63 62
51960         2.   ..                       .  .
51961         10   ..                      71 70
51962         2.   ..                       .  .
51963         10   ..                      79 78
51964         10   ..                      67 67
51965         2.   ..                       .  .
51966         10   ..                      61 60
51967         1100200                      21 21
51968         10   ..                      63 63
51969         2.   ..                       .  .
51970         2.   ..                       .  .
51971         10   ..                      68 67
51972         1101001                      55 55
51973         10   ..                      68 67
51974         10   ..                      70 68
51975         10   ..                      65 64
51976         10   ..                      73 72
51977         2.   ..                       .  .
51978         2.   ..                       .  .
51979         2.   ..                       .  .
51980         2.   ..                       .  .
51981         10   ..                      67 66
51982         10   ..                      84 82
51983         10   ..                      71 70
51984         2.   ..                       .  .
51985         10   ..                      75 74
51986         2.   ..                       .  .
51987         2.   ..                       .  .
51988         2.   ..                       .  .
51989         10   ..                      74 74
51990         2.   ..                       .  .
51991         10   ..                      74 73
51992         2.   ..                       .  .
51993         10   ..                      79 78
51994         2.   ..                       .  .
51995         1101000                      25 24
51996         10   ..                      67 65
51997         10   ..                      68 67
51998         2.   ..                       .  .
51999         10   ..                      68 68
52000         2.   ..                       .  .
52001         2.   ..                       .  .
52002         1100200                      41 40
52003         2.   ..                       .  .
52004         2.   ..                       .  .
52005         10   ..                      68 67
52006         2.   ..                       .  .
52007         10   ..                      82 81
52008         10   ..                      70 69
52009         10   ..                      74 74
52010         10   ..                      80 79
52011         10   ..                      78 77
52012         10   ..                      63 63
52013         10   ..                      66 65
52014         2.   ..                       .  .
52015         2.   ..                       .  .
52016         10   ..                      69 68
52017         10   ..                      67 67
52018         2.   ..                       .  .
52019         10   ..                      82 80
52020         10   ..                      83 82
52021         10   ..                      83 81
52022         2.   ..                       .  .
52023         10   ..                      69 68
52024         2.   ..                       .  .
52025         10   ..                      62 61
52026         10   ..                      63 63
52027         10   ..                      79 78
52028         2.   ..                       .  .
52029         10   ..                      67 66
52030         2.   ..                       .  .
52031         10   ..                      77 76
52032         10   ..                      72 72
52033         10   ..                      79 78
52034         2.   ..                       .  .
52035         2.   ..                       .  .
52036         2.   ..                       .  .
52037         10   ..                      71 69
52038         2.   ..                       .  .
52039         10   ..                      77 76
52040         2.   ..                       .  .
52041         10   ..                      71  .
52042         10   ..                      78 77
52043         10   ..                      77 76
52044         10   ..                      82 81
52045         2.   ..                       .  .
52046         10   ..                      63 62
52047         10   ..                      72 71
52048         2.   ..                       .  .
52049         10   ..                      73 71
52050         10   ..                      80 79
52051         10   ..                      76 76
52052         10   ..                      75 74
52053         1100111                      32 32
52054         1101000                      50 49
52055         2.   ..                       .  .
52056         2.   ..                       .  .
52057         10   ..                      83 82
52058         10   ..                      82 82
52059         2.   ..                       .  .
52060         2.   ..                       .  .
52061         2.   ..                       .  .
52062         10   ..                      73 73
52063         10   ..                      74 73
52064         10   ..                      70 69
52065         10   ..                      81 80
52066         2.   ..                       .  .
52067         10   ..                      75 74
52068         10   ..                      68 68
52069         10   ..                      76 75
52070         2.   ..                       .  .
52071         10   ..                      66 65
52072         10   ..                      81 79
52073         10   ..                      68 68
52074         2.   ..                       .  .
52075         10   ..                      73 72
52076         10   ..                      70 68
52077         10   ..                      75 74
52078         10   ..                      74 73
52079         2.   ..                       .  .
52080         10   ..                      63 63
52081         10   ..                      64 64
52082         2.   ..                       .  .
52083         10   ..                      61 61
52084         10   ..                      77 76
52085         10   ..                      73 72
52086         10   ..                      77 76
52087         2.   ..                       .  .
52088         10   ..                      74 73
52089         2.   ..                       .  .
52090         10   ..                      67 67
52091         2.   ..                       .  .
52092         10   ..                      77 77
52093         2.   ..                       .  .
52094         10   ..                      62 61
52095         2.   ..                       .  .
52096         10   ..                      71 70
52097         10   ..                      73 73
52098         2.   ..                       .  .
52099         10   ..                      71 70
52100         10   ..                      79  .
52101         2.   ..                       .  .
52102         2.   ..                       .  .
52103         10   ..                      64 63
52104         10   ..                      74 72
52105         2.   ..                       .  .
52106         10   ..                      83 83
52107         10   ..                      65 64
52108         2.   ..                       .  .
52109         1101000                      55 55
52110         10   ..                      83 82
52111         10   ..                      68 67
52112         10   ..                      83 81
52113         10   ..                      72 71
52114         2.   ..                       .  .
52115         10   ..                      65 65
52116         10   ..                      83 82
52117         10   ..                      80 79
52118         2.   ..                       .  .
