41717         10   ..                      99 97
41718         10   ..                      85 85
41719         10   ..                      86 85
41720         2.   ..                       .  .
41721         10   ..                      88 87
41722         2.   ..                       .  .
41723         2.   ..                       .  .
41724         10   ..                     106105
41725         10   ..                      85 84
41726         2.   ..                       .  .
41727         10   ..                      88 88
41728         10   ..                      97 96
41729         10   ..                      94 93
41730         10   ..                     101100
41731         10   ..                      97 97
41732         2.   ..                       .  .
41733         10   ..                      92 89
41734         2.   ..                       .  .
41735         10   ..                     101100
41736         2.   ..                       .  .
41737         10   ..                      88 87
41738         2.   ..                       .  .
41739         1101000                      37 36
41740         1100200                      21 21
41741         10   ..                      89  .
41742         2.   ..                       .  .
41743         10   ..                      87 86
41744         2.   ..                       .  .
41745         2.   ..                       .  .
41746         2.   ..                       .  .
41747         2.   ..                       .  .
41748         10   ..                      85 83
41749         10   ..                     104103
41750         10   ..                      87 85
41751         10   ..                     101100
41752         2.   ..                       .  .
41753         1100200                      52 50
41754         10   ..                      94 92
41755         10   ..                      99 98
41756         10   ..                      97 96
41757         10   ..                     102102
41758         10   ..                     107106
41759         10   ..                     101101
41760         10   ..                      99 98
41761         10   ..                      99 97
41762         10   ..                     106106
41763         2.   ..                       .  .
41764         10   ..                     101101
41765         10   ..                      85  .
41766         2.   ..                       .  .
41767         10   ..                      97 97
41768         10   ..                     104102
41769         2.   ..                       .  .
41770         10   ..                      87 85
41771         10   ..                      87 86
41772         10   ..                     103101
41773         2.   ..                       .  .
41774         2.   ..                       .  .
41775         10   ..                      95 93
41776         10   ..                      97 97
41777         2.   ..                       .  .
41778         2.   ..                       .  .
41779         10   ..                      93 91
41780         10   ..                      98 98
41781         2.   ..                       .  .
41782         10   ..                      93 92
41783         10   ..                      99 98
41784         2.   ..                       .  .
41785         10   ..                      98 97
41786         10   ..                      89  .
41787         2.   ..                       .  .
41788         10   ..                     101 99
41789         2.   ..                       .  .
41790         2.   ..                       .  .
41791         1100200                      99 98
41792         2.   ..                       .  .
41793         10   ..                     104104
41794         10   ..                      93 92
41795         2.   ..                       .  .
41796         1100100                       4  3
41797         1101000                      53 52
41798         2.   ..                       .  .
41799         2.   ..                       .  .
41800         2.   ..                       .  .
41801         10   ..                      91 89
41802         10   ..                      97 96
41803         1100201                      12  .
41804         2.   ..                       .  .
41805         2.   ..                       .  .
41806         10   ..                      90 90
41807         2.   ..                       .  .
41808         10   ..                      90 89
41809         10   ..                     100 98
41810         1101000                      25  .
41811         10   ..                      85 84
41812         2.   ..                       .  .
41813         10   ..                     106106
41814         10   ..                      98 97
41815         10   ..                      88 88
41816         2.   ..                       .  .
41817         2.   ..                       .  .
41818         2.   ..                       .  .
41819         1101000                      80 79
41820         10   ..                      91 91
41821         2.   ..                       .  .
41822         10   ..                      98 97
41823         10   ..                      95 94
41824         2.   ..                       .  .
41825         10   ..                      98 98
41826         2.   ..                       .  .
41827         10   ..                      98 97
41828         2.   ..                       .  .
41829         2.   ..                       .  .
41830         2.   ..                       .  .
41831         2.   ..                       .  .
41832         2.   ..                       .  .
41833         2.   ..                       .  .
41834         10   ..                      93 93
41835         2.   ..                       .  .
41836         2.   ..                       .  .
41837         2.   ..                       .  .
41838         10   ..                     101100
41839         10   ..                      99 98
41840         10   ..                      94 92
41841         1101000                      38 36
41842         10   ..                      89 88
41843         10   ..                      89 88
41844         10   ..                      97 97
41845         2.   ..                       .  .
41846         2.   ..                       .  .
41847         2.   ..                       .  .
41848         1101001                      14 13
41849         2.   ..                       .  .
41850         10   ..                      97 96
41851         2.   ..                       .  .
41852         10   ..                     102101
41853         10   ..                      93 92
41854         2.   ..                       .  .
41855         10   ..                      90 89
41856         1100101                      18 16
41857         10   ..                     101100
41858         10   ..                      97 96
41859         2.   ..                       .  .
41860         2.   ..                       .  .
41861         2.   ..                       .  .
41862         2.   ..                       .  .
41863         10   ..                      98 98
41864         10   ..                      97 96
41865         10   ..                      86 85
41866         2.   ..                       .  .
41867         10   ..                     101101
41868         10   ..                      97 96
41869         10   ..                      96 95
41870         1101000                      20 19
41871         10   ..                     101100
41872         2.   ..                       .  .
41873         10   ..                      99 99
41874         2.   ..                       .  .
41875         10   ..                      91 89
41876         10   ..                      95  .
41877         10   ..                     100100
41878         10   ..                      97 97
41879         1101011                      46 45
41880         2.   ..                       .  .
41881         10   ..                      97 96
41882         10   ..                      95 94
41883         10   ..                      86 85
41884         2.   ..                       .  .
41885         2.   ..                       .  .
41886         2.   ..                       .  .
41887         2.   ..                       .  .
41888         10   ..                      85 84
41889         10   ..                     105102
41890         2.   ..                       .  .
41891         2.   ..                       .  .
41892         2.   ..                       .  .
41893         10   ..                      97 96
41894         2.   ..                       .  .
41895         10   ..                      97 96
41896         1100200                      63 62
41897         10   ..                     104103
41898         10   ..                      97 95
41899         10   ..                      89 88
41900         2.   ..                       .  .
41901         10   ..                     106105
41902         10   ..                      99 98
41903         10   ..                      98 96
41904         10   ..                     100 99
41905         2.   ..                       .  .
41906         2.   ..                       .  .
41907         10   ..                     103103
41908         10   ..                      85 85
41909         1101000                      94 93
41910         2.   ..                       .  .
41911         10   ..                     106105
41912         10   ..                      97 97
41913         10   ..                     100 98
41914         10   ..                     101100
41915         10   ..                     101101
41916         2.   ..                       .  .
41917         2.   ..                       .  .
41918         10   ..                      99 99
41919         10   ..                      85 85
41920         2.   ..                       .  .
41921         10   ..                     107105
41922         10   ..                      93 92
41923         10   ..                      99 98
41924         10   ..                     106105
41925         2.   ..                       .  .
41926         10   ..                      92 90
41927         10   ..                     100100
41928         2.   ..                       .  .
41929         10   ..                     105104
41930         2.   ..                       .  .
41931         2.   ..                       .  .
41932         2.   ..                       .  .
41933         10   ..                      92  .
41934         10   ..                      93 92
41935         2.   ..                       .  .
41936         2.   ..                       .  .
41937         2.   ..                       .  .
41938         2.   ..                       .  .
41939         2.   ..                       .  .
41940         2.   ..                       .  .
41941         2.   ..                       .  .
41942         10   ..                      94 93
41943         2.   ..                       .  .
41944         10   ..                      99 98
41945         2.   ..                       .  .
41946         10   ..                     107107
41947         10   ..                      92 91
41948         10   ..                     101100
41949         10   ..                     104102
41950         2.   ..                       .  .
41951         10   ..                      86 85
41952         10   ..                      93 92
41953         1101011                      68 68
41954         2.   ..                       .  .
41955         2.   ..                       .  .
41956         2.   ..                       .  .
41957         2.   ..                       .  .
41958         10   ..                      88 88
41959         2.   ..                       .  .
41960         1101000                      82 80
41961         10   ..                     105104
41962         10   ..                      99 99
41963         1101001                      22 21
41964         10   ..                      89 88
41965         10   ..                      93 92
41966         10   ..                      86 85
41967         2.   ..                       .  .
41968         10   ..                     101 99
41969         10   ..                     101100
41970         2.   ..                       .  .
41971         10   ..                      99 98
41972         10   ..                      93 92
41973         10   ..                     103103
41974         2.   ..                       .  .
41975         2.   ..                       .  .
41976         2.   ..                       .  .
41977         2.   ..                       .  .
41978         2.   ..                       .  .
41979         2.   ..                       .  .
41980         2.   ..                       .  .
41981         10   ..                     104103
41982         10   ..                     100 99
41983         10   ..                      97 96
41984         10   ..                      91 90
41985         2.   ..                       .  .
41986         2.   ..                       .  .
41987         2.   ..                       .  .
41988         10   ..                     107107
41989         2.   ..                       .  .
41990         10   ..                      98 96
41991         10   ..                     105105
41992         2.   ..                       .  .
41993         10   ..                     101101
41994         2.   ..                       .  .
41995         2.   ..                       .  .
41996         2.   ..                       .  .
41997         2.   ..                       .  .
41998         10   ..                      99 98
41999         2.   ..                       .  .
42000         10   ..                     100 98
42001         10   ..                     100100
42002         10   ..                      99 99
42003         1100100                      39 37
42004         10   ..                      88 88
42005         1100200                      29 27
42006         2.   ..                       .  .
42007         2.   ..                       .  .
42008         2.   ..                       .  .
42009         1100200                      51 49
42010         10   ..                     107106
42011         2.   ..                       .  .
42012         2.   ..                       .  .
42013         2.   ..                       .  .
42014         10   ..                      95  .
42015         10   ..                      97 97
42016         10   ..                     107107
42017         2.   ..                       .  .
42018         10   ..                      92 91
42019         2.   ..                       .  .
42020         2.   ..                       .  .
42021         10   ..                     106104
42022         2.   ..                       .  .
42023         10   ..                      89 89
